Loan_ID,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001003,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0
LP001005,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1
LP001006,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1
LP001008,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1
LP001011,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1
LP001013,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1
LP001014,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0
LP001018,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1
LP001020,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0
LP001024,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1
LP001028,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1
LP001029,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0
LP001030,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1
LP001032,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1
LP001036,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0
LP001038,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0
LP001043,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0
LP001046,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1
LP001047,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0
LP001050,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0
LP001066,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1
LP001068,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1
LP001073,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1
LP001086,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0
